,"访问时间","地域","来源","入口页面","搜索词","访问IP","访客标识码","访问时长","访问页数","最后停留在","上一次访问时间","访问类型","访问频次","操作系统","网络服务商","浏览器","语言环境","屏幕分辨率","屏幕颜色","Flash版本","是否支持Cookie","是否支持JAVA","打开时间","停留时长","页面地址"
"1","2019/08/25 11:41:54","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Conservative/vice20190825114155.html","北京赛车稳赚网址=http://alksy88.top","42.224.219.199","2061199713886822335","正在访问s","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Conservative/vice20190825114155.html","首次访问","新访客","1","Linux","","Firefox","","1920x1080","24-bit","","支持","不支持","11:41:54","正在访问","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Conservative/vice20190825114155.html"
"2","2019/08/25 11:28:45","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/old/a20190825112846.html","快3稳赚网址=http://caidj88.top","123.9.245.99","2255182353677984114","正在访问s","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/old/a20190825112846.html","首次访问","新访客","1","macOS","网通","Safari","","1920x1080","24-bit","","支持","不支持","11:28:45","正在访问","https://link.zhihu.com/?target=http%3A//www.cdccql.com/old/a20190825112846.html"
"3","2019/08/25 10:42:32","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/style/Xfinity20190825104232.html","PC蛋蛋注册网址=http://cailx88.top","42.224.131.200","1766795613565539007","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/style/Xfinity20190825104232.html","首次访问","新访客","1","macOS","","Safari","","1920x1080","24-bit","","支持","不支持","10:42:32","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/style/Xfinity20190825104232.html"
"4","2019/08/25 10:38:03","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/satellite/Wikipedia20190825103804.html","11选5平台网址=http://cahls88.top","42.228.247.24","1826513362875905137","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/satellite/Wikipedia20190825103804.html","首次访问","新访客","1","macOS","","Opera","","1920x1080","24-bit","","支持","不支持","10:38:03","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/satellite/Wikipedia20190825103804.html"
"5","2019/08/25 10:25:29","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/entered20190825102530.html","快乐飞艇官网网址=http://caibl88.top","182.121.26.240","2059207024326122520","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/entered20190825102530.html","首次访问","新访客","1","Win XP","","Firefox","","1920x1080","24-bit","","支持","不支持","10:25:29","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/entered20190825102530.html"
"6","2019/08/25 10:24:55","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/cable/Why20190825102455.html","PK10赛车网站网址=http://alygq88.top","115.53.255.191","2237521568521025617","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/cable/Why20190825102455.html","首次访问","新访客","1","Win Vista","网通","Google Chrome","","1920x1080","24-bit","","支持","不支持","10:24:55","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/cable/Why20190825102455.html"
"7","2019/08/25 10:22:01","其他","直接访问","https://www.liu-hao.cn","--","23.100.232.233","1748408463237149149","未知","1","https://www.liu-hao.cn","首次访问","新访客","1","Win Vista","","IE 9.0","","1024x768","24-bit","10.1","支持","不支持","10:22:01","未知","https://www.liu-hao.cn"
"8","2019/08/25 10:20:01","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/independent20190825102001.html","北京赛车平台网址=http://caiek88.top","42.224.102.125","2168278462453726453","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/independent20190825102001.html","首次访问","新访客","1","BSD","","Firefox","","1920x1080","24-bit","","支持","不支持","10:20:01","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/the/independent20190825102001.html"
"9","2019/08/25 10:19:57","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/of/sports20190825101957.html","福彩3D开奖网址=http://cahzm88.top","42.224.102.125","1917465205232030480","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/of/sports20190825101957.html","首次访问","新访客","1","SUSE","","Firefox","","1920x1080","24-bit","","支持","不支持","10:19:57","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/of/sports20190825101957.html"
"10","2019/08/25 10:15:00","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/News/including20190825101500.html","六合彩代理网址=http://caikd88.top","182.121.215.130","1921808521360324763","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/News/including20190825101500.html","首次访问","新访客","1","Ubuntu","","Firefox","","1920x1080","24-bit","","支持","不支持","10:15:00","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/News/including20190825101500.html"
"11","2019/08/25 10:03:59","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Teresa/Jam20190825100400.html","北京赛车网站网址=http://cahxz88.top","42.224.131.47","1854395667494317096","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Teresa/Jam20190825100400.html","首次访问","新访客","1","Win Vista","","Firefox","","1920x1080","24-bit","","支持","不支持","10:03:59","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/Teresa/Jam20190825100400.html"
"12","2019/08/25 09:50:10","洛阳","百度","https://link.zhihu.com/?target=http%3A//www.cdccql.com/a/It20190825095010.html","11选5开奖网址=http://caihj88.top","115.53.255.92","2053219702773867000","未知","1","https://link.zhihu.com/?target=http%3A//www.cdccql.com/a/It20190825095010.html","首次访问","新访客","1","Win 2003","网通","Firefox","","1920x1080","24-bit","","支持","不支持","09:50:10","未知","https://link.zhihu.com/?target=http%3A//www.cdccql.com/a/It20190825095010.html"
